,O,D,flow,O_id,D_id
399,3.6085E+11,3.6085E+11,1469,6463,6463
400,3.60811E+11,3.60811E+11,1469,5603,5603
401,3.6085E+11,3.6085E+11,1468,6389,6389
402,3.6085E+11,3.6085E+11,1466,6555,6565
403,3.6061E+11,3.6061E+11,1463,4342,4342
404,3.6085E+11,3.6085E+11,1461,6426,6426
405,3.6081E+11,3.6081E+11,1460,4861,4862
406,3.60811E+11,3.60811E+11,1457,5567,5567
407,3.6005E+11,3.6005E+11,1456,15,15
408,3.6005E+11,3.6005E+11,1456,126,126
409,3.6047E+11,3.6047E+11,1455,1184,1197
410,3.6085E+11,3.6085E+11,1452,6500,6500
411,3.60811E+11,3.60811E+11,1451,6186,6186
412,3.6085E+11,3.6085E+11,1450,6298,6298
413,3.60811E+11,3.60811E+11,1449,5810,5809
414,3.60471E+11,3.60471E+11,1448,2773,2773
415,3.6061E+11,3.6061E+11,1448,3311,3323
416,3.6061E+11,3.6061E+11,1445,3419,3419
417,3.6085E+11,3.6085E+11,1442,6449,6449
418,3.60812E+11,3.60812E+11,1440,6200,6200
419,3.60811E+11,3.60811E+11,1437,5906,5906
420,3.6085E+11,3.6085E+11,1435,6541,6541
421,3.6061E+11,3.6061E+11,1433,4486,3311
422,3.6005E+11,3.6005E+11,1432,376,376
423,3.60812E+11,3.60812E+11,1427,6212,6212
424,3.6085E+11,3.6085E+11,1419,6550,6550
425,3.6061E+11,3.6081E+11,1416,3696,4861
426,3.60811E+11,3.60811E+11,1415,5782,5782
427,3.6081E+11,3.6081E+11,1415,4941,4941
428,3.60471E+11,3.60471E+11,1409,2777,2777
429,3.6061E+11,3.6061E+11,1407,4256,4256
430,3.6061E+11,3.6061E+11,1406,3288,3288
431,3.6061E+11,3.6061E+11,1404,3930,3930
432,3.60811E+11,3.60811E+11,1403,5415,5415
433,3.6061E+11,3.6061E+11,1403,3676,3779
434,3.6061E+11,3.6061E+11,1402,3580,3584
435,3.6085E+11,3.6085E+11,1401,6522,6523
436,3.6061E+11,3.6061E+11,1399,3324,3324
437,3.6061E+11,3.6061E+11,1397,3615,3621
438,3.6061E+11,3.6061E+11,1397,3814,3701
439,3.6085E+11,3.6085E+11,1396,6439,6439
440,3.6061E+11,3.6061E+11,1396,3740,3744
441,3.6005E+11,3.6005E+11,1396,389,202
442,3.60811E+11,3.60811E+11,1394,5939,5939
443,3.6047E+11,3.6047E+11,1392,1243,1243
444,3.6085E+11,3.6085E+11,1389,6435,6435
445,3.6085E+11,3.6085E+11,1386,6464,6464
446,3.6047E+11,3.6047E+11,1386,2040,2044
447,3.6061E+11,3.6061E+11,1384,3739,3756
448,3.6061E+11,3.6061E+11,1384,4189,4189
449,3.60471E+11,3.60471E+11,1382,2706,2706
450,3.60811E+11,3.60811E+11,1380,6099,6099
451,3.6047E+11,3.6047E+11,1379,1193,1193
452,3.6005E+11,3.6005E+11,1377,824,824
453,3.6085E+11,3.6085E+11,1375,6373,6373
454,3.6085E+11,3.6085E+11,1371,6560,6560
455,3.6061E+11,3.6061E+11,1371,3585,3585
456,3.60811E+11,3.60811E+11,1371,5812,5812
457,3.6061E+11,3.6061E+11,1371,3701,3676
458,3.6061E+11,3.6061E+11,1369,3779,3701
459,3.6081E+11,3.6081E+11,1367,4954,4954
460,3.6047E+11,3.6047E+11,1366,1198,1198
461,3.60471E+11,3.60471E+11,1365,2710,2710
462,3.6047E+11,3.6047E+11,1361,1519,1519
463,3.6061E+11,3.6061E+11,1361,3321,3320
464,3.6005E+11,3.6005E+11,1360,742,742
465,3.6061E+11,3.6061E+11,1359,3779,3780
466,3.60471E+11,3.60471E+11,1349,3116,3116
467,3.60471E+11,3.60471E+11,1349,2496,2496
468,3.6085E+11,3.6085E+11,1348,6410,6410
469,3.60811E+11,3.60811E+11,1348,5885,5835
470,3.6081E+11,3.6081E+11,1347,4796,4796
471,3.6061E+11,3.6061E+11,1347,3693,3699
472,3.6047E+11,3.6047E+11,1345,1194,1194
473,3.60811E+11,3.60811E+11,1345,6132,6132
474,3.6061E+11,3.6061E+11,1341,3690,3690
475,3.6061E+11,3.6061E+11,1340,3860,3860
476,3.6081E+11,3.6081E+11,1334,5088,5088
477,3.6061E+11,3.6061E+11,1332,3488,3488
